"","ST_NAME","YEAR","Critical.reading.score","Mathematics.score","Writing.score","TAKING.SAT...","MONTH","fatalities","drunk"
"1","Alabama",2015,557,551,543,6,1,58,15
"2","Alabama",2015,557,551,543,6,2,38,10
"3","Alabama",2015,557,551,543,6,3,70,22
"4","Alabama",2015,557,551,543,6,4,74,19
"5","Alabama",2015,557,551,543,6,5,75,17
"6","Alabama",2015,557,551,543,6,6,66,20
"7","Alabama",2015,557,551,543,6,7,77,17
"8","Alabama",2015,557,551,543,6,8,79,20
"9","Alabama",2015,557,551,543,6,9,78,23
"10","Alabama",2015,557,551,543,6,10,85,24
"11","Alabama",2015,557,551,543,6,11,70,19
"12","Alabama",2015,557,551,543,6,12,79,14
"13","Alaska",2015,485,479,460,52,1,2,0
"14","Alaska",2015,485,479,460,52,2,2,2
"15","Alaska",2015,485,479,460,52,3,4,1
"16","Alaska",2015,485,479,460,52,4,8,5
"17","Alaska",2015,485,479,460,52,5,7,3
"18","Alaska",2015,485,479,460,52,6,5,2
"19","Alaska",2015,485,479,460,52,7,11,3
"20","Alaska",2015,485,479,460,52,8,5,1
"21","Alaska",2015,485,479,460,52,9,4,1
"22","Alaska",2015,485,479,460,52,10,6,3
"23","Alaska",2015,485,479,460,52,11,4,1
"24","Alaska",2015,485,479,460,52,12,7,2
"25","Arizona",2015,528,532,505,34,1,71,24
"26","Arizona",2015,528,532,505,34,2,69,13
"27","Arizona",2015,528,532,505,34,3,84,35
"28","Arizona",2015,528,532,505,34,4,64,16
"29","Arizona",2015,528,532,505,34,5,85,28
"30","Arizona",2015,528,532,505,34,6,81,13
"31","Arizona",2015,528,532,505,34,7,77,18
"32","Arizona",2015,528,532,505,34,8,76,18
"33","Arizona",2015,528,532,505,34,9,64,12
"34","Arizona",2015,528,532,505,34,10,76,21
"35","Arizona",2015,528,532,505,34,11,80,27
"36","Arizona",2015,528,532,505,34,12,66,15
"37","Arkansas",2015,570,569,553,4,1,30,4
"38","Arkansas",2015,570,569,553,4,2,44,8
"39","Arkansas",2015,570,569,553,4,3,42,13
"40","Arkansas",2015,570,569,553,4,4,38,8
"41","Arkansas",2015,570,569,553,4,5,40,14
"42","Arkansas",2015,570,569,553,4,6,45,11
"43","Arkansas",2015,570,569,553,4,7,50,9
"44","Arkansas",2015,570,569,553,4,8,60,17
"45","Arkansas",2015,570,569,553,4,9,41,11
"46","Arkansas",2015,570,569,553,4,10,50,9
"47","Arkansas",2015,570,569,553,4,11,55,19
"48","Arkansas",2015,570,569,553,4,12,36,5
"49","California",2015,491,500,485,60,1,235,53
"50","California",2015,491,500,485,60,2,252,68
"51","California",2015,491,500,485,60,3,273,60
"52","California",2015,491,500,485,60,4,285,73
"53","California",2015,491,500,485,60,5,258,87
"54","California",2015,491,500,485,60,6,267,66
"55","California",2015,491,500,485,60,7,276,56
"56","California",2015,491,500,485,60,8,283,79
"57","California",2015,491,500,485,60,9,242,56
"58","California",2015,491,500,485,60,10,278,51
"59","California",2015,491,500,485,60,11,256,46
"60","California",2015,491,500,485,60,12,271,55
"61","Colorado",2015,587,589,571,12,1,51,13
"62","Colorado",2015,587,589,571,12,2,32,4
"63","Colorado",2015,587,589,571,12,3,39,19
"64","Colorado",2015,587,589,571,12,4,51,18
"65","Colorado",2015,587,589,571,12,5,40,11
"66","Colorado",2015,587,589,571,12,6,46,19
"67","Colorado",2015,587,589,571,12,7,48,17
"68","Colorado",2015,587,589,571,12,8,51,23
"69","Colorado",2015,587,589,571,12,9,78,19
"70","Colorado",2015,587,589,571,12,10,47,14
"71","Colorado",2015,587,589,571,12,11,32,11
"72","Colorado",2015,587,589,571,12,12,31,8
